#step;creations;deletions;netto
100;143;0;143
#step;creations;deletions;netto
100;143;0;143
200;36;0;36
300;18;0;18
400;3;0;3
500;0;0;0
600;0;0;0
700;0;0;0
800;0;0;0
900;0;0;0
1000;0;0;0
#step;creations;deletions;netto
100;143;0;143
200;36;0;36
300;18;0;18
400;3;0;3
500;0;0;0
600;0;0;0
700;0;0;0
800;0;0;0
900;0;0;0
1000;0;0;0
#step;creations;deletions;netto
100;133;0;133
200;43;0;43
300;21;0;21
400;3;0;3
500;0;0;0
600;0;0;0
700;0;0;0
800;0;0;0
900;0;0;0
1000;0;0;0
#step;creations;deletions;netto
100;133;0;133
200;43;0;43
300;21;0;21
400;3;0;3
500;0;0;0
600;0;0;0
700;0;0;0
800;0;0;0
900;0;0;0
1000;0;0;0
#step;creations;deletions;netto
100;143;0;143
200;36;0;36
300;18;0;18
400;3;0;3
500;0;0;0
600;0;0;0
700;0;0;0
800;0;0;0
900;0;0;0
1000;0;0;0
